coachID,year,tmID,confID,won,lost,games,performance
aglerbr99w,10,SEA,WE,20,14,34.0,-0.239788349757585
bouceje01w,10,SAC,WE,3,10,13.0,-4.301676464738858
coopemi01w,10,LAS,WE,18,16,34.0,0.6590226636714803
coylepa99w,10,NYL,EA,6,11,17.0,-1.8990005945958675
donovan99w,10,NYL,EA,7,10,17.0,-0.6018047819371639
dunnli99wc,10,IND,EA,22,12,34.0,0.5508274251062686
gaineco01w,10,PHO,WE,23,11,34.0,6.009154944928973
gilloje01w,10,MIN,WE,14,20,34.0,-0.48211627032982873
hugheda99w,10,SAS,WE,15,19,34.0,1.8804633477483348
keyst99wc,10,CHI,EA,16,18,34.0,2.12353547723182
laimbbi01w,10,DET,EA,1,2,3.0,-4.007649081536013
mahorri01w,10,DET,EA,17,14,31.0,0.7347872228076363
meadoma99w,10,ATL,EA,18,16,34.0,0.815167983051539
plankju99w,10,WAS,EA,16,18,34.0,-0.20442956056686523
thibami99w,10,CON,EA,16,18,34.0,-1.0968166026478805
whisejo99w,10,SAC,WE,9,12,21.0,0.06032264156403755
