team_id,year,GP,won,lost,rs_win_pct,pythag_win_pct,team_strength,rs_win_pct_expected_roster,overach_pythag,overach_roster,po_W,po_L,po_win_pct,rs_win_pct_prev,win_pct_change
CON,6,34,26,8,0.7647058823529411,0.741508515100076,22.708094238207778,0.592158656014315,0.023197367252865142,0.17254722633862607,5.0,3.0,0.625,0.5294117647058824,0.23529411764705876
CON,7,34,26,8,0.7647058823529411,0.7553978355830705,25.645110686609485,0.7132890653176476,0.009308046769870626,0.05141681703529355,3.0,2.0,0.6,0.7647058823529411,0.0
CON,8,34,18,16,0.5294117647058824,0.5832783045969081,19.55018140399044,0.46191788927936683,-0.053866539891025744,0.06749387542651553,1.0,2.0,0.3333333333333333,0.7647058823529411,-0.23529411764705876
CON,9,34,21,13,0.6176470588235294,0.6491765673178644,23.42239116488569,0.6216181706655499,-0.031529508494335,-0.0039711118420204805,1.0,2.0,0.3333333333333333,0.5294117647058824,0.08823529411764708
CON,10,34,16,18,0.47058823529411764,0.4969463147398669,22.62175424697159,0.5885977639793465,-0.02635807944574925,-0.11800952868522885,0.0,0.0,,0.6176470588235294,-0.1470588235294118
DET,1,32,14,18,0.4375,0.393786902226836,20.471910744679104,0.49993247117429185,0.04371309777316401,-0.06243247117429185,0.0,0.0,,,
DET,2,32,10,22,0.3125,0.3056527508303424,18.493014256307536,0.41831749018369513,0.006847249169657621,-0.10581749018369513,0.0,0.0,,0.4375,-0.125
DET,3,32,9,23,0.28125,0.320845232331422,18.88663506922099,0.43455146470040706,-0.03959523233142198,-0.15330146470040706,0.0,0.0,,0.3125,-0.03125
DET,4,34,25,9,0.7352941176470589,0.6659597636369274,21.517881916424514,0.5430711182942138,0.06933435401013144,0.19222299935284504,6.0,2.0,0.75,0.28125,0.4540441176470589
DET,5,34,17,17,0.5,0.48294315596117104,21.23786638119068,0.5315225291085374,0.017056844038828956,-0.03152252910853737,1.0,2.0,0.3333333333333333,0.7352941176470589,-0.23529411764705888
DET,6,34,16,18,0.47058823529411764,0.45250236414688944,20.115290885292964,0.48522451488870566,0.018085871147228205,-0.01463627959458802,0.0,2.0,0.0,0.5,-0.02941176470588236
