coachID,year,tmID,confID,name,won,lost,games,win_pct_season,last1_win_pct,last3_win_pct,last5_win_pct,career_wins_to_date,career_losses_to_date,career_games_to_date,career_win_pct_to_date,tenure_with_team,post_wins,post_losses,playoff_games,playoff_win_pct_season
donovan99w,6,SEA,WE,Seattle Storm,20,14,34.0,0.5882352941176471,0.5882352941176471,0.5600490196078431,0.5047794117647059,83.0,81.0,164.0,0.5060975609756098,3,1,2,3.0,0.3333333333333333
grafca99wc,6,PHO,WE,Phoenix Mercury,16,18,34.0,0.47058823529411764,0.5,0.5,0.5,17.0,17.0,34.0,0.5,2,0,0,0.0,
hugheda99w,6,SAS,WE,San Antonio Silver Stars,7,27,34.0,0.20588235294117646,0.5,0.5,0.5078125,66.0,64.0,130.0,0.5076923076923077,1,0,0,0.0,
laceytr99w,6,CHA,EA,Charlotte Sting,3,21,24.0,0.125,0.47058823529411764,0.5,0.5,34.0,34.0,68.0,0.5,3,0,0,0.0,
laimbbi01w,6,DET,EA,Detroit Shock,16,18,34.0,0.47058823529411764,0.5,0.5481283422459894,0.5481283422459894,51.0,39.0,90.0,0.5666666666666667,4,0,2,2.0,0.0
mcconsu01w,6,MIN,WE,Minnesota Lynx,14,20,34.0,0.4117647058823529,0.5294117647058824,0.5294117647058824,0.5294117647058824,36.0,32.0,68.0,0.5294117647058824,3,0,0,0.0,
thibami99w,6,CON,EA,Connecticut Sun,26,8,34.0,0.7647058823529411,0.5294117647058824,0.5294117647058824,0.5294117647058824,36.0,32.0,68.0,0.5294117647058824,3,5,3,8.0,0.625
whisejo99w,6,SAC,WE,Sacramento Monarchs,25,9,34.0,0.7352941176470589,0.5294117647058824,0.6397058823529411,0.6397058823529411,30.0,20.0,50.0,0.6,3,7,1,8.0,0.875
wintebr01w,6,IND,EA,Indiana Fever,21,13,34.0,0.6176470588235294,0.4411764705882353,0.4411764705882353,0.4411764705882353,15.0,19.0,34.0,0.4411764705882353,2,2,2,4.0,0.5
adubari99w,7,WAS,EA,Washington Mystics,18,16,34.0,0.5294117647058824,0.47058823529411764,0.45955882352941174,0.5194852941176471,98.0,82.0,180.0,0.5444444444444444,2,0,2,2.0,0.0
boguemu01w,7,CHA,EA,Charlotte Sting,11,23,34.0,0.3235294117647059,0.3,0.3,0.3,3.0,7.0,10.0,0.3,2,0,0,0.0,
bryanjo01w,7,LAS,WE,Los Angeles Sparks,25,9,34.0,0.7352941176470589,0.6666666666666666,0.6666666666666666,0.6666666666666666,4.0,2.0,6.0,0.6666666666666666,2,2,3,5.0,0.4
chancva99w,7,HOU,WE,Houston Comets,18,16,34.0,0.5294117647058824,0.5588235294117647,0.5098039215686274,0.5746323529411764,122.0,76.0,198.0,0.6161616161616161,7,0,2,2.0,0.0
cowenda01w,7,CHI,EA,Chicago Sky,5,29,34.0,0.14705882352941177,,,,0.0,0.0,0.0,,1,0,0,0.0,
coylepa99w,7,NYL,EA,New York Liberty,11,23,34.0,0.3235294117647059,0.5294117647058824,0.5702614379084967,0.5702614379084967,29.0,23.0,52.0,0.5576923076923077,3,0,0,0.0,
donovan99w,7,SEA,WE,Seattle Storm,18,16,34.0,0.5294117647058824,0.5882352941176471,0.5686274509803922,0.5661764705882353,103.0,95.0,198.0,0.5202020202020202,4,1,2,3.0,0.3333333333333333
hugheda99w,7,SAS,WE,San Antonio Silver Stars,13,21,34.0,0.38235294117647056,0.20588235294117646,0.33946078431372545,0.4474264705882353,73.0,91.0,164.0,0.4451219512195122,2,0,0,0.0,
jenkica99w,7,MIN,WE,Minnesota Lynx,1,10,11.0,0.09090909090909091,,,,0.0,0.0,0.0,,1,0,0,0.0,
laimbbi01w,7,DET,EA,Detroit Shock,23,11,34.0,0.6764705882352942,0.47058823529411764,0.5686274509803922,0.5287433155080214,67.0,57.0,124.0,0.5403225806451613,5,7,3,10.0,0.7
mcconsu01w,7,MIN,WE,Minnesota Lynx,9,14,23.0,0.391304347826087,0.4117647058823529,0.4901960784313726,0.4901960784313726,50.0,52.0,102.0,0.49019607843137253,4,0,0,0.0,
thibami99w,7,CON,EA,Connecticut Sun,26,8,34.0,0.7647058823529411,0.7647058823529411,0.6078431372549019,0.6078431372549019,62.0,40.0,102.0,0.6078431372549019,4,3,2,5.0,0.6
westhpa99w,7,PHO,WE,Phoenix Mercury,18,16,34.0,0.5294117647058824,,,,0.0,0.0,0.0,,1,0,0,0.0,
whisejo99w,7,SAC,WE,Sacramento Monarchs,21,13,34.0,0.6176470588235294,0.7352941176470589,0.6715686274509803,0.6715686274509803,55.0,29.0,84.0,0.6547619047619048,4,6,3,9.0,0.6666666666666666
wintebr01w,7,IND,EA,Indiana Fever,21,13,34.0,0.6176470588235294,0.6176470588235294,0.5294117647058824,0.5294117647058824,36.0,32.0,68.0,0.5294117647058824,3,0,2,2.0,0.0
adubari99w,8,WAS,EA,Washington Mystics,0,4,4.0,0.0,0.5294117647058824,0.4791666666666667,0.49411764705882355,116.0,98.0,214.0,0.5420560747663551,3,0,0,0.0,
bouceje01w,8,SAC,WE,Sacramento Monarchs,19,15,34.0,0.5588235294117647,,,,0.0,0.0,0.0,,1,1,2,3.0,0.3333333333333333
coopemi01w,8,LAS,WE,Los Angeles Sparks,10,24,34.0,0.29411764705882354,0.7,0.7290441176470588,0.7874264705882352,119.0,31.0,150.0,0.7933333333333333,6,0,0,0.0,
coylepa99w,8,NYL,EA,New York Liberty,16,18,34.0,0.47058823529411764,0.3235294117647059,0.48801742919389984,0.48801742919389984,40.0,46.0,86.0,0.46511627906976744,4,1,2,3.0,0.3333333333333333
donovan99w,8,SEA,WE,Seattle Storm,17,17,34.0,0.5,0.5294117647058824,0.5686274509803922,0.5595588235294118,121.0,111.0,232.0,0.521551724137931,5,0,2,2.0,0.0
hugheda99w,8,SAS,WE,San Antonio Silver Stars,20,14,34.0,0.5882352941176471,0.38235294117647056,0.3627450980392157,0.4176470588235294,86.0,112.0,198.0,0.43434343434343436,3,2,3,5.0,0.4
