year,tmID,name,season_win_pct,won,lost,GP,o_pts,d_pts,point_diff,home_win_pct,away_win_pct,prev_season_win_pct_1,prev_season_win_pct_3,prev_season_win_pct_5,prev_point_diff_3,prev_point_diff_5,prev_wins_1,win_pct_change_from_prev
3,MIA,Miami Sol,0.47,15.0,17.0,32.0,2046.0,2088.0,-42.0,0.56,0.38,0.62,,,,,20.0,-0.16
1,MIN,Minnesota Lynx,0.47,15.0,17.0,32.0,2193.0,2188.0,5.0,0.5,0.44,,,,,,,
2,MIN,Minnesota Lynx,0.38,12.0,20.0,32.0,2077.0,2156.0,-79.0,0.38,0.38,0.47,,,,,15.0,-0.09
3,MIN,Minnesota Lynx,0.31,10.0,22.0,32.0,2003.0,2104.0,-101.0,0.44,0.19,0.38,,,,,12.0,-0.06
4,MIN,Minnesota Lynx,0.53,18.0,16.0,34.0,2380.0,2370.0,10.0,0.65,0.41,0.31,,,,,10.0,0.22
5,MIN,Minnesota Lynx,0.53,18.0,16.0,34.0,2165.0,2190.0,-25.0,0.65,0.41,0.53,,,,,18.0,0.0
6,MIN,Minnesota Lynx,0.41,14.0,20.0,34.0,2211.0,2288.0,-77.0,0.65,0.18,0.53,,,,,18.0,-0.12
7,MIN,Minnesota Lynx,0.29,10.0,24.0,34.0,2523.0,2735.0,-212.0,0.47,0.12,0.41,,,,,14.0,-0.12
8,MIN,Minnesota Lynx,0.29,10.0,24.0,34.0,2636.0,2752.0,-116.0,0.41,0.18,0.29,,,,,10.0,0.0
9,MIN,Minnesota Lynx,0.47,16.0,18.0,34.0,2767.0,2721.0,46.0,0.53,0.41,0.29,,,,,10.0,0.18
10,MIN,Minnesota Lynx,0.41,14.0,20.0,34.0,2731.0,2827.0,-96.0,0.53,0.29,0.47,,,,,16.0,-0.06
1,NYL,New York Liberty,0.62,20.0,12.0,32.0,2148.0,2035.0,113.0,0.75,0.5,,,,,,,
2,NYL,New York Liberty,0.66,21.0,11.0,32.0,2162.0,2082.0,80.0,0.81,0.5,0.62,,,,,20.0,0.03
