year,tmID,name,season_win_pct,won,lost,GP,o_pts,d_pts,point_diff,off_eff,def_eff,fg_pct,three_pct,ft_pct,opp_fg_pct,prop_3pt_shots,home_win_pct,away_win_pct,home_advantage,attend_per_game,confID,franchise_changed,prev_season_win_pct_1,prev_season_win_pct_3,prev_season_win_pct_5,prev_point_diff_3,prev_point_diff_5,prev_wins_1,win_pct_change_from_prev,off_eff_norm,def_eff_norm,fg_pct_norm,three_pct_norm,ft_pct_norm,opp_fg_pct_norm,point_diff_norm
9,ATL,Atlanta Dream,0.1176,4.0,30.0,34.0,2534.0,2879.0,-345.0,74.5294,84.6765,0.3964,0.3378,0.7476,0.4499,0.2648,0.0588,0.1765,-0.1176,4158.2059,EA,0.0,,,,,,,,0.9772,1.1103,0.9439,1.0014,0.9951,1.0707,
10,ATL,Atlanta Dream,0.5294,18.0,16.0,34.0,2861.0,2797.0,64.0,84.1471,82.2647,0.4485,0.3048,0.7536,0.4215,0.154,0.7059,0.3529,0.3529,3551.0882,EA,0.0,0.1176,,,,,4.0,0.4118,1.074,1.05,1.0489,0.8896,0.9713,0.9852,
1,CHA,Charlotte Sting,0.25,8.0,24.0,32.0,2186.0,2429.0,-243.0,68.3125,75.9062,0.4267,0.3394,0.747,0.4554,0.2028,0.3125,0.1875,0.125,2842.5938,EA,0.0,,,,,,,,0.9897,1.0997,0.9886,1.0341,1.0102,1.0539,
2,CHA,Charlotte Sting,0.5625,18.0,14.0,32.0,2055.0,2009.0,46.0,64.2188,62.7812,0.4191,0.3575,0.7765,0.3965,0.2404,0.6875,0.4375,0.25,3297.6562,EA,0.0,0.25,,,,,8.0,0.3125,0.9774,0.9555,1.0198,1.0683,1.05,0.9642,
3,CHA,Charlotte Sting,0.5625,18.0,14.0,32.0,2241.0,2133.0,108.0,70.0312,66.6562,0.4302,0.4004,0.7391,0.4305,0.2944,0.6875,0.4375,0.25,3333.4375,EA,0.0,0.5625,,,,,18.0,0.0,1.0353,0.9854,1.0233,1.1848,0.9949,1.0235,
4,CHA,Charlotte Sting,0.5294,18.0,16.0,34.0,2217.0,2195.0,22.0,65.2059,64.5588,0.4184,0.3617,0.7729,0.4154,0.2749,0.7647,0.2941,0.4706,3531.2059,EA,0.0,0.5625,,,,,18.0,-0.0331,0.9575,0.948,1.0014,1.0784,1.0372,0.9936,
5,CHA,Charlotte Sting,0.4706,16.0,18.0,34.0,2092.0,2168.0,-76.0,61.5294,63.7647,0.4272,0.3617,0.739,0.4141,0.2632,0.5882,0.3529,0.2353,3423.0294,EA,0.0,0.5294,,,,,18.0,-0.0588,0.9174,0.9507,1.0169,1.041,0.9963,0.985,
6,CHA,Charlotte Sting,0.1765,6.0,28.0,34.0,2095.0,2335.0,-240.0,61.6176,68.6765,0.4036,0.3455,0.7163,0.4507,0.1573,0.2941,0.0588,0.2353,2883.9412,EA,0.0,0.4706,,,,,16.0,-0.2941,0.9158,1.0207,0.9502,1.0328,0.9665,1.0605,
7,CHA,Charlotte Sting,0.3235,11.0,23.0,34.0,2456.0,2571.0,-115.0,72.2353,75.6176,0.3967,0.3235,0.7104,0.4239,0.2498,0.4118,0.2353,0.1765,3145.3529,EA,0.0,0.1765,,,,,6.0,0.1471,0.9602,1.0052,0.9343,0.9679,0.9497,0.9977,-805.0
7,CHI,Chicago Sky,0.1471,5.0,29.0,34.0,2322.0,2687.0,-365.0,68.2941,79.0294,0.3945,0.2929,0.6983,0.4523,0.2464,0.1765,0.1176,0.0588,1695.1471,EA,0.0,,,,,,,,0.9078,1.0505,0.9291,0.8763,0.9335,1.0644,-2555.0
