coachID,team_id,year,stint,gp,won,lost,rs_win_pct_coach,eb_rs_win_pct,is_first_year_with_team,po_win_pct_coach,pythag_win_pct,rs_win_pct_expected_roster,rs_win_pct_prev,team_strength
dunnli99wc,IND,10,0,34,22,12,0.6470588235294118,0.5739508192657594,0,0.6,0.6092495729870008,0.5639699826879867,0.5,22.024611059258664
dunntr01wc,CHA,1,0,32,8,24,0.25,0.37922205621320665,1,,0.2426165205655778,0.4644522573347397,,19.61163154444439
fortnne99w,IND,2,0,32,10,22,0.3125,0.409525086516237,1,,0.3843480395201052,0.4102539612954884,0.28125,18.29750004057068
fortnne99w,IND,3,0,32,16,16,0.5,0.5004341774253279,0,0.3333333333333333,0.4592004054359502,0.4208732339026449,0.3125,18.554982686725847
fortnne99w,IND,4,0,34,16,18,0.47058823529411764,0.48571552514811234,0,,0.5185403018366246,0.4813355668436717,0.5,20.020996608232924
gaineco01w,PHO,9,0,34,16,18,0.47058823529411764,0.48571552514811234,1,,0.5008971580419428,0.6957584032639856,0.6764705882352942,25.22004943981685
gaineco01w,PHO,10,0,34,23,11,0.6764705882352942,0.5886567016187005,0,0.6363636363636364,0.6074147900490358,0.7104496897432961,0.4705882352941176,25.576265110894663
gilloje01w,MIN,10,0,34,14,20,0.4117647058823529,0.45630376044223,1,,0.4077871055424307,0.5545654380067253,0.4705882352941176,21.79658159434185
grafca99wc,PHO,5,0,34,17,17,0.5,0.5004214075010536,1,,0.5767908605999347,0.4783351707237717,0.2352941176470588,19.948246810667232
grafca99wc,PHO,6,0,34,16,18,0.47058823529411764,0.48571552514811234,0,,0.5080162860659437,0.4956378177674043,0.5,20.367779438851294
hargrli99w,POR,1,0,32,10,22,0.3125,0.409525086516237,1,,0.3279753671085488,0.3720421610721182,,17.370988800127023
hargrli99w,POR,2,0,32,11,21,0.34375,0.4246766016677521,0,,0.3602864295133354,0.4135593311830917,0.3125,18.37764445503916
hargrli99w,POR,3,0,32,16,16,0.5,0.5004341774253279,0,,0.4610013509887877,0.4696441129824342,0.34375,19.7375170716436
harveca99w,UTA,2,2,19,14,5,0.7368421052631579,0.5854463341522951,1,0.0,0.5184050275293984,0.5259799921169557,0.5625,21.10347797778501
harveca99w,UTA,3,0,32,20,12,0.625,0.5610402380313885,0,0.4,0.5831418106210684,0.5703558877723525,0.59375,22.17944838193085
harveca99w,SAS,4,1,22,6,16,0.2727272727272727,0.41122599482270783,1,,0.2714737810986833,0.452865285651955,,19.330685359128665
hugheda99w,CLE,1,0,32,17,15,0.53125,0.5155856925768431,1,0.5,0.578342605747944,0.4161623689112496,,18.440759610575903
hugheda99w,CLE,2,0,32,22,10,0.6875,0.5913432683344187,0,0.3333333333333333,0.7741182609187295,0.4165139140275775,0.53125,18.44928343044037
hugheda99w,CLE,3,0,32,10,22,0.3125,0.409525086516237,0,,0.4124220103421774,0.4001196056553716,0.6875,18.05177504566507
hugheda99w,CLE,4,0,34,17,17,0.5,0.5004214075010536,0,0.3333333333333333,0.5230970050971749,0.4254079232744896,0.3125,18.66493408002254
hugheda99w,SAS,6,0,34,7,27,0.20588235294117646,0.3533625839716418,1,,0.2248169076615501,0.32030981366678,0.2647058823529412,16.116648489401022
hugheda99w,SAS,7,0,34,13,21,0.38235294117647056,0.4415978780892888,0,,0.4165062364704143,0.5451601465147508,0.2058823529411764,21.56853402170658
hugheda99w,SAS,8,0,34,20,14,0.5882352941176471,0.5445390545598771,0,0.4,0.5355731861433761,0.5141128877760737,0.3823529411764705,20.81573949126847
hugheda99w,SAS,9,0,34,24,10,0.7058823529411765,0.6033625839716418,0,0.4444444444444444,0.635779807083906,0.5871021803219577,0.5882352941176471,22.5854912323663
hugheda99w,SAS,10,0,34,15,19,0.4411764705882353,0.47100964279517116,0,0.3333333333333333,0.453056352381221,0.5798052685246537,0.7058823529411765,22.40856497500057
jenkica99w,MIN,7,2,11,1,10,0.09090909090909091,0.40063679355714754,1,,0.294968507604231,0.5172272823905453,0.4117647058823529,20.89125337966466
kenlaje99w,WAS,9,2,12,2,10,0.16666666666666666,0.41366642847981827,1,,0.2662792551747083,0.4473092781598095,0.4705882352941176,19.1959703401196
keyst99wc,CHI,9,0,34,12,22,0.35294117647058826,0.4268919957363476,1,,0.4589038430903701,0.5289912836221771,0.4117647058823529,21.17649195282756
keyst99wc,CHI,10,0,34,16,18,0.47058823529411764,0.48571552514811234,0,,0.3793520305747562,0.5446309965702723,0.3529411764705882,21.555703865352427
laceytr99w,CHA,4,0,34,18,16,0.5294117647058824,0.5151272898539947,1,0.0,0.5269007861623007,0.4501426030520392,0.5625,19.264669206572744
laceytr99w,CHA,5,0,34,16,18,0.47058823529411764,0.48571552514811234,0,,0.4048268314817425,0.3537808061962891,0.5294117647058824,16.92821064104311
laceytr99w,CHA,6,1,24,3,21,0.125,0.34532165017364896,0,,0.2366110435105643,0.3905191458612955,0.4705882352941176,17.818995279712073
laimbbi01w,DET,3,2,22,9,13,0.4090909090909091,0.46479742339413643,1,,0.320845232331422,0.434551464700407,0.3125,18.88663506922099
laimbbi01w,DET,4,0,34,25,9,0.7352941176470589,0.6180684663245829,0,0.75,0.6659597636369274,0.5430711182942138,0.28125,21.517881916424518
laimbbi01w,DET,5,0,34,17,17,0.5,0.5004214075010536,0,0.3333333333333333,0.482943155961171,0.5315225291085374,0.7352941176470589,21.23786638119068
laimbbi01w,DET,6,0,34,16,18,0.47058823529411764,0.48571552514811234,0,0.0,0.4525023641468894,0.4852245148887056,0.5,20.115290885292964
laimbbi01w,DET,7,0,34,23,11,0.6764705882352942,0.5886567016187005,0,0.7,0.6522929045177551,0.5720435273888059,0.4705882352941176,22.220368125709527
laimbbi01w,DET,8,0,34,24,10,0.7058823529411765,0.6033625839716418,0,0.5454545454545454,0.6565010868772475,0.5631247653327862,0.6764705882352942,22.00411730142382
laimbbi01w,DET,9,0,34,22,12,0.6470588235294118,0.5739508192657594,0,0.7777777777777778,0.6511209682437284,0.6107150020352544,0.7058823529411765,23.158024968229945
laimbbi01w,DET,10,1,3,1,2,0.3333333333333333,0.48726096513707134,0,,0.5081563822985311,0.5495275587760526,0.6470588235294118,21.674429491904103
liebena01w,DET,1,0,32,14,18,0.4375,0.4701311471222976,1,,0.393786902226836,0.4999324711742918,,20.471910744679104
maherto99w,WAS,2,0,32,10,22,0.3125,0.409525086516237,1,,0.3114043637894307,0.3664049868268901,0.4375,17.234305752691093
mahorri01w,DET,10,2,31,17,14,0.5483870967741935,0.5235177801549483,1,0.6,0.5081563822985311,0.5495275587760526,0.6470588235294118,21.674429491904103
mcconsu01w,MIN,4,0,34,18,16,0.5294117647058824,0.5151272898539947,1,0.3333333333333333,0.5113664792230288,0.5013806497138824,0.3125,20.507024340145858
mcconsu01w,MIN,5,0,34,18,16,0.5294117647058824,0.5151272898539947,0,0.0,0.469040464846651,0.4231765151306393,0.5294117647058824,18.61082972704232
mcconsu01w,MIN,6,0,34,14,20,0.4117647058823529,0.45630376044223,0,,0.4086091031514804,0.4380783682442206,0.5294117647058824,18.97215095065557
mcconsu01w,MIN,7,1,23,9,14,0.391304347826087,0.45664308263283576,0,,0.294968507604231,0.5172272823905453,0.4117647058823529,20.89125337966466
mchugma99w,SAC,2,2,20,14,6,0.7,0.574604735371697,1,0.6,0.6803874114206423,0.5844198632133856,0.65625,22.52045381102004
mchugma99w,SAC,3,0,32,14,18,0.4375,0.4701311471222976,0,,0.3497631210308662,0.4834642143474543,0.625,20.072609351617643
mchugma99w,SAC,4,1,18,7,11,0.3888888888888889,0.4620895328859931,0,,0.5979957894917546,0.5141654599716066,0.4375,20.81701419515081
meadoma99w,ATL,9,0,34,4,30,0.11764705882352941,0.30924493691281824,1,,0.2012412631905801,0.5046028209492066,,20.585151459274265
meadoma99w,ATL,10,0,34,18,16,0.5294117647058824,0.5151272898539947,0,0.0,0.5607821657934591,0.6409652212606161,0.1176470588235294,23.891493896004803
millech99w,PHO,1,0,32,20,12,0.625,0.5610402380313885,1,0.0,0.6684515171705466,0.4670107116024272,,19.67366569680876
overtbo99w,CHI,8,0,34,14,20,0.4117647058823529,0.45630376044223,1,,0.4105442218324109,0.5648986119839645,0.1470588235294117,22.047127283982423
peckca99wc,ORL,1,0,32,16,16,0.5,0.5004341774253279,1,0.3333333333333333,0.4696385198522093,0.4857794262847348,,20.12874567263263
peckca99wc,ORL,2,0,32,13,19,0.40625,0.4549796319707824,0,,0.4199072520581436,0.4601104275033468,0.5,19.506356364542796
plankju99w,WAS,10,0,34,16,18,0.47058823529411764,0.48571552514811234,1,0.0,0.4617030868666786,0.536587706756435,0.2941176470588235,21.360680381007175
rollitr01w,WAS,8,2,30,16,14,0.5333333333333333,0.5160727454698694,1,,0.4444094857213638,0.5112517909160879,0.5294117647058824,20.746367245384235
rollitr01w,WAS,9,1,22,8,14,0.36363636363636365,0.4469402805369936,0,,0.2662792551747083,0.4473092781598095,0.4705882352941176,19.1959703401196
rothsro99w,MIA,1,0,32,13,19,0.40625,0.4549796319707824,1,,0.2771033487117763,0.3382637540568313,,16.551972852147593
rothsro99w,MIA,2,0,32,20,12,0.625,0.5610402380313885,0,0.3333333333333333,0.5819076635793018,0.4149833008802457,0.40625,18.41217106521591
rothsro99w,MIA,3,0,32,15,17,0.46875,0.4852826622738127,0,,0.4453551298325366,0.4249366879583306,0.625,18.65350816408131
sharpli99w,PHO,3,2,22,5,17,0.22727272727272727,0.393368851965565,1,,0.2715967032172673,0.4230678436382078,0.40625,18.608194798599666
shumajo01w,PHO,4,0,34,8,26,0.23529411764705882,0.36806846632458295,1,,0.2981467630236913,0.4075279075613417,0.34375,18.23140214902995
stanlma99w,WAS,3,0,32,17,15,0.53125,0.5155856925768431,1,0.6,0.5241169293776209,0.4735861812877603,0.3125,19.83309934136476
stanlma99w,WAS,4,0,34,9,25,0.2647058823529412,0.38277434867752413,0,,0.3204032700956483,0.486632459251985,0.53125,20.149428933510325
thibami99w,CON,4,0,34,18,16,0.5294117647058824,0.5151272898539947,1,0.5,0.4718634253214552,0.5217954271906879,,21.002015957731263
thibami99w,CON,5,0,34,18,16,0.5294117647058824,0.5151272898539947,0,0.625,0.5360233762707455,0.5239309447578564,0.5294117647058824,21.053795277694743
thibami99w,CON,6,0,34,26,8,0.7647058823529411,0.6327743486775241,0,0.625,0.741508515100076,0.592158656014315,0.5294117647058824,22.708094238207774
thibami99w,CON,7,0,34,26,8,0.7647058823529411,0.6327743486775241,0,0.6,0.7553978355830705,0.7132890653176476,0.7647058823529411,25.645110686609485
thibami99w,CON,8,0,34,18,16,0.5294117647058824,0.5151272898539947,0,0.3333333333333333,0.5832783045969081,0.4619178892793668,0.7647058823529411,19.55018140399044
thibami99w,CON,9,0,34,21,13,0.6176470588235294,0.5592449369128182,0,0.3333333333333333,0.6491765673178644,0.6216181706655499,0.5294117647058824,23.42239116488569
thibami99w,CON,10,0,34,16,18,0.47058823529411764,0.48571552514811234,0,,0.4969463147398669,0.5885977639793465,0.6176470588235294,22.62175424697159
thompka99w,LAS,5,2,14,11,3,0.7857142857142857,0.5839303272931592,1,0.3333333333333333,0.6447858703281527,0.5451252882879175,0.7058823529411765,21.567688823657964
thompka99w,HOU,8,0,34,13,21,0.38235294117647056,0.4415978780892888,1,,0.3784445055485596,0.4693073110895723,0.5294117647058824,19.72935072675236
thompka99w,HOU,9,0,34,17,17,0.5,0.5004214075010536,0,,0.4531077974568665,0.5216548696399217,0.3823529411764705,20.99860789661001
vandehe99w,MIN,3,2,13,4,9,0.3076923076923077,0.44741820659726894,1,,0.3702142541044568,0.3626935631868038,0.375,17.144315862120973
walkeda01w,WAS,1,2,12,5,7,0.4166666666666667,0.47888381978416605,1,0.0,0.4449571007683212,0.4782965394121821,,19.947310127647544
