year,tmID,name,season_win_pct,won,lost,GP,o_pts,d_pts,point_diff,home_win_pct,away_win_pct,prev_season_win_pct_1,prev_season_win_pct_3,prev_season_win_pct_5,prev_point_diff_3,prev_point_diff_5,prev_wins_1,win_pct_change_from_prev
5,MIN,Minnesota Lynx,0.53,18,16,34,2165,2190,-25,0.65,0.41,0.53,0.41,0.42,-56.67,-41.25,18.0,0.0
6,MIN,Minnesota Lynx,0.41,14,20,34,2211,2288,-77,0.65,0.18,0.53,0.46,0.44,-38.67,-38.0,18.0,-0.12
7,MIN,Minnesota Lynx,0.29,10,24,34,2523,2735,-212,0.47,0.12,0.41,0.49,0.43,-30.67,-54.4,14.0,-0.12
8,MIN,Minnesota Lynx,0.29,10,24,34,2636,2752,-116,0.41,0.18,0.29,0.41,0.41,-104.67,-81.0,10.0,0.0
9,MIN,Minnesota Lynx,0.47,16,18,34,2767,2721,46,0.53,0.41,0.29,0.33,0.41,-135.0,-84.0,10.0,0.18
10,MIN,Minnesota Lynx,0.41,14,20,34,2731,2827,-96,0.53,0.29,0.47,0.35,0.4,-94.0,-76.8,16.0,-0.06
1,NYL,New York Liberty,0.62,20,12,32,2148,2035,113,0.75,0.5,,,,,,,
2,NYL,New York Liberty,0.66,21,11,32,2162,2082,80,0.81,0.5,0.62,0.62,0.62,113.0,113.0,20.0,0.04
3,NYL,New York Liberty,0.56,18,14,32,2089,2015,74,0.62,0.5,0.66,0.64,0.64,96.5,96.5,21.0,-0.1
4,NYL,New York Liberty,0.47,16,18,34,2243,2256,-13,0.65,0.29,0.56,0.61,0.61,89.0,89.0,18.0,-0.09
5,NYL,New York Liberty,0.53,18,16,34,2252,2297,-45,0.65,0.41,0.47,0.56,0.58,47.0,63.5,16.0,0.06
6,NYL,New York Liberty,0.53,18,16,34,2316,2285,31,0.59,0.47,0.53,0.52,0.57,5.33,41.8,18.0,0.0
7,NYL,New York Liberty,0.32,11,23,34,2372,2656,-284,0.41,0.24,0.53,0.51,0.55,-9.0,25.4,18.0,-0.21
8,NYL,New York Liberty,0.47,16,18,34,2413,2501,-88,0.59,0.35,0.32,0.46,0.48,-99.33,-47.4,11.0,0.15
9,NYL,New York Liberty,0.56,19,15,34,2573,2538,35,0.65,0.47,0.47,0.44,0.46,-113.67,-79.8,16.0,0.09
10,NYL,New York Liberty,0.38,13,21,34,2512,2535,-23,0.47,0.29,0.56,0.45,0.48,-112.33,-70.2,19.0,-0.18
1,ORL,Orlando Miracle,0.5,16,16,32,2208,2233,-25,0.69,0.31,,,,,,,
2,ORL,Orlando Miracle,0.41,13,19,32,2140,2205,-65,0.62,0.19,0.5,0.5,0.5,-25.0,-25.0,16.0,-0.09
3,ORL,Orlando Miracle,0.5,16,16,32,2254,2255,-1,0.62,0.38,0.41,0.45,0.45,-45.0,-45.0,13.0,0.09
