year,tmID,name,season_win_pct,won,lost,GP,o_pts,d_pts,point_diff,home_win_pct,away_win_pct,prev_season_win_pct_1,prev_season_win_pct_3,prev_season_win_pct_5,prev_point_diff_3,prev_point_diff_5,prev_wins_1,win_pct_change_from_prev
1,CLE,Cleveland Rockers,0.53125,17,15,32,2185,2122,63,0.8125,0.25,,,,,,,
2,CLE,Cleveland Rockers,0.6875,22,10,32,2004,1788,216,0.875,0.5,0.53125,0.53125,0.53125,63.0,63.0,17.0,0.15625
3,CLE,Cleveland Rockers,0.3125,10,22,32,2071,2140,-69,0.25,0.375,0.6875,0.609375,0.609375,139.5,139.5,22.0,-0.375
4,CLE,Cleveland Rockers,0.5,17,17,34,2229,2210,19,0.6470588235294118,0.35294117647058826,0.3125,0.5104166666666666,0.5104166666666666,70.0,70.0,10.0,0.1875
4,CON,Connecticut Sun,0.5294117647058824,18,16,34,2384,2409,-25,0.5882352941176471,0.47058823529411764,,,,,,,
5,CON,Connecticut Sun,0.5294117647058824,18,16,34,2335,2304,31,0.5882352941176471,0.47058823529411764,0.5294117647058824,0.5294117647058824,0.5294117647058824,-25.0,-25.0,18.0,0.0
6,CON,Connecticut Sun,0.7647058823529411,26,8,34,2474,2244,230,0.8235294117647058,0.7058823529411765,0.5294117647058824,0.5294117647058824,0.5294117647058824,3.0,3.0,18.0,0.23529411764705876
7,CON,Connecticut Sun,0.7647058823529411,26,8,34,2683,2417,266,0.8235294117647058,0.7058823529411765,0.7647058823529411,0.6078431372549019,0.6078431372549019,78.66666666666667,78.66666666666667,26.0,0.0
8,CON,Connecticut Sun,0.5294117647058824,18,16,34,2675,2593,82,0.47058823529411764,0.5882352941176471,0.7647058823529411,0.6862745098039215,0.6470588235294117,175.66666666666666,125.5,26.0,-0.23529411764705876
9,CON,Connecticut Sun,0.6176470588235294,21,13,34,2690,2541,149,0.7647058823529411,0.47058823529411764,0.5294117647058824,0.6862745098039215,0.6235294117647059,192.66666666666666,116.8,18.0,0.08823529411764708
10,CON,Connecticut Sun,0.47058823529411764,16,18,34,2651,2654,-3,0.7058823529411765,0.23529411764705882,0.6176470588235294,0.6372549019607843,0.6411764705882353,165.66666666666666,151.6,21.0,-0.1470588235294118
1,DET,Detroit Shock,0.4375,14,18,32,2331,2426,-95,0.5,0.375,,,,,,,
2,DET,Detroit Shock,0.3125,10,22,32,2103,2269,-166,0.375,0.25,0.4375,0.4375,0.4375,-95.0,-95.0,14.0,-0.125
3,DET,Detroit Shock,0.28125,9,23,32,2114,2266,-152,0.4375,0.125,0.3125,0.375,0.375,-130.5,-130.5,10.0,-0.03125
4,DET,Detroit Shock,0.7352941176470589,25,9,34,2553,2395,158,0.7647058823529411,0.7058823529411765,0.28125,0.34375,0.34375,-137.66666666666666,-137.66666666666666,9.0,0.4540441176470589
5,DET,Detroit Shock,0.5,17,17,34,2366,2381,-15,0.47058823529411764,0.5294117647058824,0.7352941176470589,0.443014705882353,0.4416360294117647,-53.333333333333336,-63.75,25.0,-0.23529411764705888
6,DET,Detroit Shock,0.47058823529411764,16,18,34,2247,2287,-40,0.7058823529411765,0.23529411764705882,0.5,0.5055147058823529,0.45330882352941176,-3.0,-54.0,17.0,-0.02941176470588236
7,DET,Detroit Shock,0.6764705882352942,23,11,34,2527,2384,143,0.8235294117647058,0.5294117647058824,0.47058823529411764,0.5686274509803922,0.4599264705882353,34.333333333333336,-43.0,16.0,0.20588235294117652
8,DET,Detroit Shock,0.7058823529411765,24,10,34,2697,2540,157,0.7058823529411765,0.7058823529411765,0.6764705882352942,0.5490196078431372,0.5327205882352941,29.333333333333332,18.8,23.0,0.02941176470588236
9,DET,Detroit Shock,0.6470588235294118,22,12,34,2672,2522,150,0.8235294117647058,0.47058823529411764,0.7058823529411765,0.6176470588235294,0.6176470588235294,86.66666666666667,80.6,24.0,-0.05882352941176472
10,DET,Detroit Shock,0.5294117647058824,18,16,34,2652,2644,8,0.6470588235294118,0.4117647058823529,0.6470588235294118,0.676470588235294,0.6,150.0,79.0,22.0,-0.11764705882352944
1,HOU,Houston Comets,0.84375,27,5,32,2475,2066,409,0.875,0.8125,,,,,,,
2,HOU,Houston Comets,0.59375,19,13,32,2047,1994,53,0.6875,0.5,0.84375,0.84375,0.84375,409.0,409.0,27.0,-0.25
3,HOU,Houston Comets,0.75,24,8,32,2072,1892,180,0.875,0.625,0.59375,0.71875,0.71875,231.0,231.0,19.0,0.15625
4,HOU,Houston Comets,0.5882352941176471,20,14,34,2244,2142,102,0.8235294117647058,0.35294117647058826,0.75,0.7291666666666666,0.7291666666666666,214.0,214.0,24.0,-0.16176470588235292
5,HOU,Houston Comets,0.38235294117647056,13,21,34,2177,2211,-34,0.5294117647058824,0.23529411764705882,0.5882352941176471,0.6439950980392157,0.6939338235294118,111.66666666666667,186.0,20.0,-0.20588235294117652
6,HOU,Houston Comets,0.5588235294117647,19,15,34,2309,2263,46,0.6470588235294118,0.47058823529411764,0.38235294117647056,0.573529411764706,0.6316176470588235,82.66666666666667,142.0,13.0,0.17647058823529416
7,HOU,Houston Comets,0.5294117647058824,18,16,34,2507,2449,58,0.7058823529411765,0.35294117647058826,0.5588235294117647,0.5098039215686274,0.5746323529411764,38.0,69.4,19.0,-0.02941176470588236
8,HOU,Houston Comets,0.38235294117647056,13,21,34,2510,2628,-118,0.4117647058823529,0.35294117647058826,0.5294117647058824,0.4901960784313726,0.5617647058823529,23.333333333333332,70.4,18.0,-0.1470588235294118
9,HOU,Houston Comets,0.5,17,17,34,2561,2606,-45,0.7647058823529411,0.23529411764705882,0.38235294117647056,0.4901960784313726,0.4882352941176471,-4.666666666666667,10.8,13.0,0.11764705882352944
1,IND,Indiana Fever,0.28125,9,23,32,2213,2290,-77,0.3125,0.25,,,,,,,
2,IND,Indiana Fever,0.3125,10,22,32,2153,2249,-96,0.4375,0.1875,0.28125,0.28125,0.28125,-77.0,-77.0,9.0,0.03125
3,IND,Indiana Fever,0.5,16,16,32,2097,2129,-32,0.625,0.375,0.3125,0.296875,0.296875,-86.5,-86.5,10.0,0.1875
